"id","text_pt","sentiment"
"1","Excelente A simples informação das 5 estrelas supra mencionadas já demonstra o grau de satisfação cliente  tornando-se desnecessário o preenchimento desta justificativa. Sejamos práticos.","pos"
"2","Número de serie da garrafa diferente da caixa O número de serie da garrafa não é o mesmo número da caixinha. Gostaria de uma resposta que comprove que não seja falso.","neg"
"3","Ganhou a sogra Original e fez sucesso! foi presente do meu marido lra minha mae e podemos dizer que a sogra esta conquistada com sucesso.","pos"
"4","Nada acrescentar. So dei azar com um ventilador  Bom mas nao é 1ª vez q compto. O outro estavs bom esse aonda nao provei. Se gor ruim depois falo.","pos"
"5","Excelente E produto e bom excelente qualidade mais não e original infelizmente no meu caso foi para presente então sem problemas.","pos"
"6","Compre sem medo Perfeito parece ser original e se não for n consegui notar a diferença assim que possível comprarei mais.","pos"
"7","Top Melhor custo/ benefício o valor realmente faz jus ao que o blended propõe ótimo com gelo de coco.","pos"
"8","Excelente Bah pia tomei um shot dele bah me deixou loco brabo só meu fígado q n gosto mt.","pos"
"9","Muito ruim Ainda não tomei está reservado para o ano novo espero que  seja  boa qualidade. Será que é original?.","neg"
"10","Razoável Preço bom. No entanto o sabor deixa a desejar apesar de ser um uísque bem conceituado.","pos"
"11","Arasta pra cima?  Os produtos top original de fábrica eu recomendo é isso mercado livre descoplicando a nossa vida.","pos"
"12","Ótimo Produto a mesma coisa que a foto. Garrafa original lacrada selo de autenticação muito bom produto.","pos"
"13","Excelente Muito bom o quê eu mais queria ele cumpri fiquei bêbado essa é  a intensão.","pos"
"14","Satisfeito Bom mais se melhorasse esse preço ficaria melhor em torno de 45 reais compraria outro.","pos"
"15","Excelente Muito bom. Nau e golpeeeee. Quero dizer que bebida boa. Nau e tóxica jajaha.","pos"
"16","Top demais Produto autêntico muito bom principalmente tomando com 2 cubos de gelo feito com maracujá.","pos"
"17","Excelente Gostei muito. Pena que não veio com 1litro com 750ml foi muito pouco.","pos"
"18","Excelente A garrafa e  muito bonita só tinha comprado antes de litro ótima compra.","pos"
"19","Muito ruim Parece q nao é original.  Tem gosto de uísque uísque de dez reais.","neg"
"20","Excelente Gostei bastante. Ótimo custo beneficio. É o melhor dentre os 8 anos.","pos"
"21","Excelente Ele é muito bom e não é falsificado podem comprar sem medo.","pos"
"22","Muito bom Ótimo produto e o menor custo que encontrei foi aqui no ml.","pos"
"23","Excelente Não só o produto mais a qualidade do serviço também. Muito bom.","pos"
